log10(nu_E[GeV]),aeff[m^2]
1.025,0.0
1.075,0.0
1.125,0.0
1.1749999999999998,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.4249999999999998,0.0
1.4750000000000003,0.0
1.5249999999999997,0.0
1.575,0.0
1.625,0.0
1.6749999999999998,0.0
1.7250000000000003,0.0
1.7749999999999997,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.9750000000000003,0.0
2.025,1.213468236831334e-06
2.075,3.3202043562369826e-06
2.125,7.479751793203617e-06
2.1750000000000003,1.5452104951735156e-05
2.225,2.3164861076428612e-05
2.275,3.9953148092769224e-05
2.325,7.780559337926553e-05
2.375,0.00013659400305250925
2.4250000000000003,0.00023322927781664144
2.475,0.0003676246329632493
2.525,0.000598126068907351
2.575,0.0008543326674703011
2.625,0.0013220934659623617
2.6750000000000003,0.0019025847066520532
2.725,0.002823239307227993
2.775,0.004123946581337563
2.8250000000000006,0.005507663658005854
2.875,0.007506146625520595
2.9250000000000003,0.009799418123177684
2.975,0.013481714791737999
3.025,0.017332864268343986
3.0750000000000006,0.02292319642031152
3.125,0.029486948114827344
3.1749999999999994,0.03797679141310348
3.225,0.04650074283481392
3.275,0.06011038351619856
3.3250000000000006,0.07434761485236988
3.375,0.09214987318762141
3.4250000000000003,0.11094109010676594
3.475,0.13829665182225437
3.525,0.16671761600685353
3.5750000000000006,0.2068766928415442
3.625,0.24619362177372223
3.6749999999999994,0.3008749771095738
3.725,0.3601138234026477
3.775,0.429384853680467
3.8250000000000006,0.5122338193751557
3.875,0.6117491160638652
3.9249999999999994,0.7156897593346363
3.975,0.8635849701388988
4.025,1.0335002182837008
4.075000000000001,1.184825941733315
4.125,1.3822598295548867
4.175000000000002,1.600660326513197
4.2250000000000005,1.8875603513122865
4.275,2.170398167482366
4.325000000000001,2.438652171588345
4.375,2.887453587517457
4.425000000000002,3.277448206206894
4.4750000000000005,3.701374525232199
4.525,4.194831106830308
4.575000000000001,4.756337007086931
4.625,5.453331980727467
4.675000000000002,6.1389787309530615
4.7250000000000005,6.826177079313649
4.775,7.532413943402589
4.825000000000001,8.479986609880289
4.875,9.346429734447442
4.925000000000002,10.263362926168105
4.9750000000000005,11.480390841168779
5.025,12.645875770428413
5.075,13.900401398862595
5.125000000000001,14.80478470019261
5.175000000000002,16.584390145702365
5.2250000000000005,17.73165466933657
5.275,19.473184992877272
5.325,21.04939940710804
5.375000000000001,22.01659932839719
5.425000000000002,24.474891202697314
5.4750000000000005,25.525937235071048
5.525000000000001,27.670147014337058
5.575,30.42901556249018
5.625000000000001,32.462653076326866
5.675000000000002,34.66049773995603
5.7250000000000005,36.22606020208878
5.775000000000001,38.81999775335448
5.825,41.177531643306935
5.875000000000001,44.516483803338474
5.925000000000002,47.55903985538234
5.9750000000000005,48.01292352336234
6.025000000000001,53.53662656802734
6.075,57.73195731693456
6.125000000000001,60.36084025013674
6.175000000000002,61.45870203385028
6.2250000000000005,68.03124632506719
6.275000000000001,68.25974387209098
6.325,73.64643200533371
6.375000000000001,77.68790256488809
6.425000000000002,81.61991942564332
6.4750000000000005,84.81353930732854
6.525000000000001,89.96640213342577
6.575,93.98740773140462
6.625000000000001,96.58064070333609
6.675000000000002,107.93273975731846
6.7250000000000005,108.10834279943585
6.775000000000001,122.91838219442268
6.825,123.27174946623288
6.875000000000001,126.391780282391
6.925000000000002,130.1793503847305
6.9750000000000005,133.77253531191758
7.025000000000001,153.61843492845017
7.075,155.01740835684106
7.125000000000001,156.77522938764562
7.175000000000002,179.25457244997673
7.224999999999999,176.24477756622196
7.275000000000001,192.9027838649926
7.325,198.60386519697346
7.375000000000001,203.20038460229662
7.425000000000002,227.13617722738678
7.474999999999999,232.9286007596142
7.525000000000001,247.79763980929363
7.575,253.86027961643086
7.625000000000001,269.5603523706074
7.675000000000002,290.36364145973977
7.724999999999999,289.4772113124151
7.775000000000001,310.22582549060803
7.825,311.81338397793627
7.875000000000001,342.32000807994723
7.925000000000002,356.38148857202594
7.974999999999999,375.73921010236467


