 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 0           0           0           
 2.1375 2.70289e-06 1.65898e-06 2.18093e-06 
 2.3125 1.51804e-05 8.09498e-06 1.16377e-05 
 2.4875 5.59459e-05 3.39573e-05 4.49516e-05 
 2.6625 0.000202881 0.000125586 0.000164234 
 2.8375 0.000558277 0.000378487 0.000468382 
 3.0125 0.00165436  0.00102495  0.00133966  
 3.1875 0.00485128  0.00299552  0.0039234   
 3.3625 0.0112423   0.00764755  0.0094449   
 3.5375 0.0286425   0.019954    0.0242982   
 3.7125 0.0656654   0.0461527   0.055909    
 3.8875 0.14706     0.108091    0.127576    
 4.0625 0.303865    0.23462     0.269242    
 4.2375 0.617167    0.47751     0.547338    
 4.4125 1.09838     0.901708    1.00004     
 4.5875 1.91505     1.61271     1.76388     
 4.7625 3.0567      2.63837     2.84753     
 4.9375 4.74956     4.24229     4.49593     
 5.1125 7.16987     6.40543     6.78765     
 5.2875 10.1433     9.18947     9.6664      
 5.4625 14.0202     13.3118     13.666      
 5.6375 19.4708     18.626      19.0484     
 5.8125 25.5792     24.7194     25.1493     
 5.9875 33.9042     33.2998     33.602      
 6.1625 42.7649     42.5588     42.6619     
 6.3375 54.4609     54.2298     54.3453     
 6.5125 67.7166     66.8864     67.3015     
 6.6875 83.2962     82.6073     82.9518     
 6.8625 100.017     99.485      99.7508     
 7.0375 118.278     119.894     119.086     
 7.2125 141.407     139.978     140.692     
 7.3875 162.195     165.262     163.729     
 7.5625 188.133     188.812     188.472     
 7.7375 223.168     217.636     220.402     
 7.9125 251.686     248.186     249.936
