 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 2.02199e-06 1.72836e-06 1.87518e-06 
 2.1375 1.98161e-05 1.44729e-05 1.71445e-05 
 2.3125 9.29661e-05 6.14524e-05 7.72093e-05 
 2.4875 0.000336741 0.000210066 0.000273404 
 2.6625 0.00101246  0.000627682 0.000820073 
 2.8375 0.00268313  0.00172242  0.00220277  
 3.0125 0.00677174  0.00441117  0.00559146  
 3.1875 0.0165558   0.0106297   0.0135927   
 3.3625 0.0367118   0.0250276   0.0308697   
 3.5375 0.0799666   0.0553931   0.0676798   
 3.7125 0.163709    0.117072    0.140391    
 3.8875 0.324804    0.240863    0.282833    
 4.0625 0.599091    0.469232    0.534161    
 4.2375 1.06421     0.864101    0.964155    
 4.4125 1.7801      1.50101     1.64055     
 4.5875 2.84263     2.46121     2.65192     
 4.7625 4.24933     3.80425     4.02679     
 4.9375 6.04973     5.58579     5.81776     
 5.1125 8.34905     7.83245     8.09075     
 5.2875 11.022      10.4456     10.7338     
 5.4625 14.1956     13.8918     14.0437     
 5.6375 18.1402     17.7836     17.9619     
 5.8125 22.2091     21.9503     22.0797     
 5.9875 27.4076     27.1649     27.2863     
 6.1625 32.7461     32.8655     32.8058     
 6.3375 39.1085     39.4167     39.2626     
 6.5125 46.5474     46.1757     46.3615     
 6.6875 55.0745     55.2725     55.1735     
 6.8625 64.9012     64.2465     64.5738     
 7.0375 75.4648     76.1086     75.7867     
 7.2125 89.0471     88.8054     88.9263     
 7.3875 102.895     105.179     104.037     
 7.5625 120.913     120.08      120.496     
 7.7375 145.395     140.454     142.924     
 7.9125 165.769     163.378     164.574 
