 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 5.76721e-07 7.94614e-07 6.85667e-07 
 2.1375 9.16296e-06 6.79863e-06 7.98079e-06 
 2.3125 5.1019e-05  3.17012e-05 4.13601e-05 
 2.4875 0.000198677 0.000117121 0.000157899 
 2.6625 0.000598025 0.000372327 0.000485176 
 2.8375 0.00171338  0.00109079  0.00140208  
 3.0125 0.0045964   0.0028518   0.0037241   
 3.1875 0.011447    0.00719468  0.00932085  
 3.3625 0.0263562   0.0179578   0.022157    
 3.5375 0.0598345   0.0414588   0.0506466   
 3.7125 0.128465    0.0908358   0.10965     
 3.8875 0.263877    0.193106    0.228492    
 4.0625 0.502014    0.388448    0.445231    
 4.2375 0.916864    0.738064    0.827464    
 4.4125 1.5773      1.30395     1.44062     
 4.5875 2.59799     2.19615     2.39707     
 4.7625 3.98263     3.49364     3.73814     
 4.9375 5.79349     5.23297     5.51323     
 5.1125 8.1237      7.54626     7.83498     
 5.2875 10.9141     10.2492     10.5817     
 5.4625 14.3007     13.8251     14.0629     
 5.6375 18.3949     17.9409     18.1679     
 5.8125 22.5977     22.2453     22.4215     
 5.9875 27.8327     27.4984     27.6655     
 6.1625 32.9737     33.1662     33.0699     
 6.3375 38.9304     39.3167     39.1235     
 6.5125 45.864      45.4537     45.6588     
 6.6875 53.5442     53.7671     53.6557     
 6.8625 62.3633     61.7946     62.0789     
 7.0375 71.9183     72.2787     72.0985     
 7.2125 83.9418     83.9287     83.9353     
 7.3875 96.5975     98.3202     97.4588     
 7.5625 112.897     111.878     112.388     
 7.7375 134.88      130.844     132.862     
 7.9125 154.113     152.02      153.066   
