log10(nu_E[GeV]),aeff[m^2]
1.025,0.0
1.075,0.0
1.125,0.0
1.1749999999999998,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.4249999999999998,0.0
1.475,0.0
1.525,0.0
1.575,0.0
1.625,0.0
1.6749999999999998,0.0
1.725,0.0
1.775,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.1750000000000003,0.0
2.225,0.0
2.275,0.0
2.325,0.0
2.375,0.0
2.4250000000000003,0.0
2.475,0.0
2.525,0.0
2.575,0.0
2.625,0.0
2.6750000000000003,0.0
2.725,0.0
2.775,7.036066723988131e-06
2.825,3.8211788932860925e-06
2.875,5.630492989510334e-05
2.9250000000000003,5.284498635661171e-05
2.975,0.0003431610547650268
3.025,0.0005202671837489458
3.075,0.0010772886269616116
3.125,0.0023581936844977855
3.175,0.003308401342917099
3.225,0.006576312292566484
3.275,0.010814732791648074
3.325,0.014953885212367525
3.375,0.02193705117810838
3.4250000000000003,0.03540756324672651
3.475,0.052594494323629656
3.525,0.07267050678340135
3.575,0.09650522187999067
3.625,0.12298351092960498
3.675,0.15398342906078963
3.725,0.20089930508771342
3.775,0.24384222093259234
3.825,0.31243587825447217
3.875,0.37226490100241016
3.925,0.4351625631800264
3.975,0.48745674358330215
4.025,0.6037956285683859
4.075000000000001,0.6638647675524157
4.125,0.7932220541246178
4.175000000000002,0.89160240105585
4.2250000000000005,0.9925905843315443
4.275,1.0896462189512892
4.325000000000001,1.2811650480628938
4.375,1.3882150916104794
4.425000000000002,1.5462500070050442
4.4750000000000005,1.774922201739646
4.525,1.9413697279769038
4.575000000000001,2.1167226998883386
4.625,2.415617486859733
4.675000000000002,2.6052138166568493
4.7250000000000005,3.038346299747564
4.775,3.374378968508243
4.825000000000001,3.6611151384083103
4.875,4.278077539088766
4.925000000000002,4.4766296717371485
4.9750000000000005,5.076645280387689
5.025,5.32227894913132
5.075,6.038608716821647
5.125000000000001,6.766165284008906
5.175000000000002,7.523396459953684
5.2250000000000005,8.164311420485305
5.275,9.226725565664697
5.325,9.312554424851887
5.375000000000001,10.263771938169377
5.425000000000002,11.522570671567582
5.4750000000000005,12.852114967655327
5.525,13.480220970972583
5.575,14.684923322744964
5.625000000000001,16.35746505110567
5.675000000000002,19.43353050882616
5.7250000000000005,21.21157903225977
5.775,23.349600689930142
5.825000000000001,25.92197778925121
5.875000000000001,29.259747556416368
5.925000000000002,29.496294150281564
5.9750000000000005,32.61743743800821
6.025,34.88888547922342
6.075000000000001,38.99891697222792
6.125000000000001,44.93517080222737
6.175000000000002,47.12102381838221
6.2250000000000005,48.825892518896026
6.275,56.5339024497927
6.325000000000001,59.38763774407739
6.375000000000001,65.39084912804852
6.425000000000002,74.05443686521112
6.4750000000000005,79.91744023555272
6.525,89.97661303736751
6.575000000000001,100.04492619647877
6.625000000000001,107.80063483983031
6.675000000000002,117.96089997248092
6.7250000000000005,113.57271659826242
6.775,126.98732585884541
6.825000000000001,150.65941212830822
6.875000000000001,157.30775315566802
6.925000000000002,177.90508671835386
6.9750000000000005,183.33235354001545
7.025,210.02891593599486
7.075000000000001,229.66189908139074
7.125000000000001,252.2398279659834
7.175000000000002,263.4286777925561
7.225,286.6486186493048
7.275,302.7194363477169
7.325000000000001,346.98994060263567
7.375000000000001,366.10795923804676
7.425000000000002,367.83267984188524
7.475,413.1955901715728
7.525,433.6251659175971
7.575000000000001,455.3431202472632
7.625000000000001,458.06229526988847
7.675000000000002,528.4121858887202
7.725,540.1205535737936
7.775,576.7158590794326
7.825000000000001,566.2458746627442
7.875000000000001,652.0999278078306
7.925000000000002,746.630327511491
7.975,764.3164996932638


