 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 2.17506e-06 2.37914e-06 2.2771e-06  
 2.1375 2.65877e-05 1.78923e-05 2.224e-05   
 2.3125 0.00011033  7.58091e-05 9.30695e-05 
 2.4875 0.000396383 0.000250539 0.000323461 
 2.6625 0.00116172  0.000736998 0.000949361 
 2.8375 0.00305388  0.00194973  0.00250181  
 3.0125 0.00763922  0.00502714  0.00633318  
 3.1875 0.0185726   0.0118262   0.0151994   
 3.3625 0.0409593   0.0279257   0.0344425   
 3.5375 0.0880414   0.0615381   0.0747898   
 3.7125 0.178646    0.12872     0.153683    
 3.8875 0.35215     0.262519    0.307334    
 4.0625 0.64797     0.50636     0.577165    
 4.2375 1.14317     0.93172     1.03745     
 4.4125 1.91002     1.6149      1.76246     
 4.5875 3.03013     2.63419     2.83216     
 4.7625 4.52414     4.0682      4.29617     
 4.9375 6.43        5.9408      6.1854      
 5.1125 8.87352     8.33431     8.60391     
 5.2875 11.6996     11.0905     11.3951     
 5.4625 15.0905     14.7759     14.9332     
 5.6375 19.3378     18.9729     19.1553     
 5.8125 23.7921     23.4603     23.6262     
 5.9875 29.5014     29.2546     29.378      
 6.1625 35.4441     35.559      35.5016     
 6.3375 42.4699     42.8524     42.6612     
 6.5125 51.0363     50.4273     50.7318     
 6.6875 60.6073     60.8057     60.7065     
 6.8625 71.5877     70.6499     71.1188     
 7.0375 83.7995     84.1863     83.9929     
 7.2125 98.7858     98.6971     98.7415     
 7.3875 114.062     116.916     115.489     
 7.5625 134.067     133.131     133.599     
 7.7375 161.987     158.18      160.084     
 7.9125 185.014     181.727     183.37  
