log10(nu_E[GeV]),aeff[m^2]
1.025,0.0
1.075,0.0
1.125,0.0
1.1749999999999998,0.0
1.225,0.0
1.275,0.0
1.325,0.0
1.375,0.0
1.4249999999999998,0.0
1.4750000000000003,0.0
1.5249999999999997,0.0
1.575,0.0
1.625,0.0
1.6749999999999998,0.0
1.7250000000000003,0.0
1.7749999999999997,0.0
1.825,0.0
1.875,0.0
1.925,0.0
1.9750000000000003,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.1750000000000003,0.0
2.225,0.0
2.275,0.0
2.325,0.0
2.375,0.0
2.4250000000000003,0.0
2.475,0.0
2.525,1.6822754338895522e-06
2.575,1.4174042240687203e-06
2.625,1.6548682884830604e-05
2.6750000000000003,2.13881759282327e-05
2.725,6.038385574394471e-05
2.775,0.00011908350865631723
2.8250000000000006,0.00031740902296500457
2.875,0.0008723756391689944
2.9250000000000003,0.002043582705308284
2.975,0.0036526400791966427
3.025,0.0075188122234458345
3.0750000000000006,0.01386682018977089
3.125,0.02479547699667819
3.1749999999999994,0.0419960986816272
3.225,0.06633400319999674
3.275,0.09659713745863308
3.3250000000000006,0.13839847445333694
3.375,0.19483914199175537
3.4250000000000003,0.256288033878085
3.475,0.3278208747705124
3.525,0.4170701662388946
3.5750000000000006,0.5078309590283736
3.625,0.6165468947126568
3.6749999999999994,0.7307696851005603
3.725,0.88125828820526
3.775,1.012451210679744
3.8250000000000006,1.1526364905251492
3.875,1.3409932140114935
3.9249999999999994,1.5408947975485692
3.975,1.7433674435497488
4.025,2.0037010362062215
4.075000000000001,2.19569184704528
4.125,2.475055083726236
4.175000000000002,2.7594469417864342
4.2250000000000005,3.045137939207175
4.275,3.426345389541192
4.325000000000001,3.7386884336680124
4.375,4.089682000133645
4.425000000000002,4.5242386830954775
4.4750000000000005,5.018383346587073
4.525,5.587941556006292
4.575000000000001,6.067362612909717
4.625,6.747047021913591
4.675000000000002,7.673449296185714
4.7250000000000005,8.140555401873188
4.775,8.870279359464805
4.825000000000001,9.577958956455834
4.875,10.488032392642237
4.925000000000002,10.958945702063438
4.9750000000000005,11.99885672510893
5.025,13.163770791711977
5.075,13.702687180882755
5.125000000000001,14.98751144676956
5.175000000000002,16.17353036077683
5.2250000000000005,17.53328932703473
5.275,18.30119324626461
5.325,19.722920939846652
5.375000000000001,21.521225996560553
5.425000000000002,22.872835983263997
5.4750000000000005,25.762316481445012
5.525000000000001,28.072577940821603
5.575,32.16504621429422
5.625000000000001,35.22676175178357
5.675000000000002,38.43707991473771
5.7250000000000005,40.688634402467386
5.775000000000001,43.03209520845705
5.825,45.65475250309661
5.875000000000001,48.16425374651116
5.925000000000002,50.74400906696179
5.9750000000000005,54.44312222987039
6.025000000000001,58.281620005275784
6.075,58.36023201633944
6.125000000000001,65.15423892667505
6.175000000000002,64.47064254973148
6.2250000000000005,67.77666634101094
6.275000000000001,72.67283035270756
6.325,77.2535972354986
6.375000000000001,82.13410598636729
6.425000000000002,86.18440243052831
6.4750000000000005,94.65547171308995
6.525000000000001,105.6194816830102
6.575,115.16832068681582
6.625000000000001,133.90098416979413
6.675000000000002,192.79263435395347
6.7250000000000005,388.8831560915139
6.775000000000001,2274.420076710287
6.825,2501.489336866902
6.875000000000001,392.0606527495796
6.925000000000002,220.14547017686476
6.9750000000000005,172.46067817621332
7.025000000000001,162.62127536762392
7.075,159.14960789613582
7.125000000000001,150.8601276304201
7.175000000000002,159.1674167568077
7.224999999999999,163.69538827997135
7.275000000000001,163.04840565747205
7.325,169.0192722576008
7.375000000000001,172.98088481488094
7.425000000000002,171.06618436208427
7.474999999999999,179.51148452468107
7.525000000000001,187.74294249690732
7.575,196.0307705817068
7.625000000000001,209.04150678375794
7.675000000000002,212.65722751235194
7.724999999999999,201.23424002309994
7.775000000000001,236.0357165242828
7.825,253.5114291758847
7.875000000000001,239.94604003015908
7.925000000000002,259.7150995636473
7.974999999999999,238.01606945874238


