1993.9, 0.021037
3161.2,	0.052541000000000004
5011.3,	0.12393000000000001
7943.6,	0.28137
12588.999999999998,	0.58073
20306.000000000004,	1.132
31610.,	2.0444
50970.00000000001,	3.4211
80738.,	5.4065
127880.,	8.0692
202530.,	11.593
320730.,	16.031
516940.00000000006,	21.34
790120.,	27.343000000000004
1.2734e6,	35.036
2.0160999999999998e6,	43.213
3.1362e6,	53.297999999999995
5.0539e6,	64.49499999999999
8.0014e6,	78.044
1.2668e7,	94.44000000000001
2.0413e7,	112.12
3.1751999999999996e7,	133.111
5.2074e7,	155.05
7.9582e7,	184.08
1.0189999999999999e8,	187.63
