 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 0           1.23059e-07 6.15294e-08 
 2.1375 6.24312e-06 3.18794e-06 4.71553e-06 
 2.3125 2.93428e-05 1.73865e-05 2.33647e-05 
 2.4875 0.000114072 6.10949e-05 8.75833e-05 
 2.6625 0.000366559 0.000231516 0.000299037 
 2.8375 0.00103777  0.000692775 0.000865275 
 3.0125 0.00298458  0.00179075  0.00238766  
 3.1875 0.00767866  0.00498027  0.00632946  
 3.3625 0.0186095   0.0124695   0.0155395   
 3.5375 0.0437791   0.0303081   0.0370436   
 3.7125 0.0962392   0.0698809   0.0830601   
 3.8875 0.205132    0.149336    0.177234    
 4.0625 0.411666    0.318587    0.365127    
 4.2375 0.774844    0.620725    0.697784    
 4.4125 1.36877     1.13336     1.25106     
 4.5875 2.29621     1.95038     2.1233      
 4.7625 3.62667     3.14429     3.38548     
 4.9375 5.41278     4.90667     5.15973     
 5.1125 7.85647     7.17239     7.51443     
 5.2875 10.7217     9.96227     10.342      
 5.4625 14.3812     13.9206     14.1509     
 5.6375 19.123      18.512      18.8175     
 5.8125 24.1047     23.63       23.8674     
 5.9875 30.4823     29.9658     30.2241     
 6.1625 36.8525     36.901      36.8767     
 6.3375 44.0871     44.4468     44.2669     
 6.5125 52.4222     51.9737     52.198      
 6.6875 61.5875     61.6026     61.595      
 6.8625 71.3648     70.8027     71.0838     
 7.0375 81.6655     82.2147     81.9401     
 7.2125 94.7352     94.5437     94.6394     
 7.3875 108.031     109.756     108.894     
 7.5625 124.589     124.257     124.423     
 7.7375 148.18      144.3       146.24      
 7.9125 168.691     165.819     167.255    
