 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 2.16833e-06 1.59638e-06 1.88236e-06 
 2.1375 2.51933e-05 1.73559e-05 2.12746e-05 
 2.3125 0.000120495 8.13748e-05 0.000100935 
 2.4875 0.000454108 0.000276321 0.000365215 
 2.6625 0.00139167  0.000842904 0.00111729  
 2.8375 0.00379306  0.00239158  0.00309232  
 3.0125 0.00972933  0.00634001  0.00803467  
 3.1875 0.0240764   0.0155608   0.0198186   
 3.3625 0.0541865   0.0368639   0.0455252   
 3.5375 0.121163    0.0839587   0.102561    
 3.7125 0.250678    0.180456    0.215567    
 3.8875 0.50758     0.373379    0.440479    
 4.0625 0.94846     0.738061    0.84326     
 4.2375 1.71158     1.37933     1.54545     
 4.4125 2.88359     2.41469     2.64914     
 4.5875 4.6428      3.98315     4.31298     
 4.7625 6.95518     6.17999     6.56759     
 4.9375 10.0012     9.17615     9.58866     
 5.1125 13.8508     12.916      13.3834     
 5.2875 18.2683     17.2557     17.762      
 5.4625 23.4849     22.6949     23.0899     
 5.6375 29.8348     29.0625     29.4487     
 5.8125 36.0629     35.462      35.7625     
 5.9875 44.1013     42.6596     43.3805     
 6.1625 49.9627     50.3711     50.1669     
 6.3375 58.4813     57.9857     58.2335     
 6.5125 65.034      65.0883     65.0612     
 6.6875 71.5907     72.5195     72.0551     
 6.8625 78.1673     79.2683     78.7178     
 7.0375 83.7856     83.3219     83.5537     
 7.2125 87.6345     85.8899     86.7622     
 7.3875 88.5933     89.0023     88.7978     
 7.5625 87.0293     91.549      89.2892     
 7.7375 86.9113     87.6476     87.2795     
 7.9125 83.5499     83.7434     83.6467   
