 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 1.08839e-06 7.69343e-07 9.28865e-07 
 2.1375 1.45349e-05 1.01852e-05 1.236e-05   
 2.3125 6.79169e-05 4.69142e-05 5.74156e-05 
 2.4875 0.00027334  0.000163879 0.000218609 
 2.6625 0.000826888 0.000499192 0.00066304  
 2.8375 0.00223013  0.0013901   0.00181012  
 3.0125 0.00586973  0.00372033  0.00479503  
 3.1875 0.0140243   0.00904052  0.0115324   
 3.3625 0.0322601   0.0216234   0.0269417   
 3.5375 0.071488    0.0493233   0.0604056   
 3.7125 0.147404    0.105646    0.126525    
 3.8875 0.298809    0.219686    0.259247    
 4.0625 0.557591    0.433784    0.495687    
 4.2375 1.00121     0.809495    0.90535     
 4.4125 1.70061     1.4194      1.56        
 4.5875 2.73414     2.35321     2.54367     
 4.7625 4.12085     3.67324     3.89704     
 4.9375 5.92586     5.42582     5.67584     
 5.1125 8.21637     7.68115     7.94876     
 5.2875 10.8783     10.2888     10.5835     
 5.4625 14.0766     13.7125     13.8946     
 5.6375 17.9633     17.6019     17.7826     
 5.8125 21.9452     21.6892     21.8172     
 5.9875 26.9536     26.7223     26.8379     
 6.1625 31.974      32.1129     32.0435     
 6.3375 37.9201     38.2675     38.0938     
 6.5125 44.858      44.4816     44.6698     
 6.6875 52.9107     52.9234     52.9171     
 6.8625 61.9617     61.261      61.6113     
 7.0375 71.6751     72.1729     71.924      
 7.2125 84.0221     83.9289     83.9755     
 7.3875 97.4989     98.9345     98.2167     
 7.5625 114.156     112.937     113.547     
 7.7375 136.987     132.277     134.632     
 7.9125 155.703     153.338     154.52 
