 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 0           0           0           
 2.1375 4.67384e-06 2.01889e-06 3.34637e-06 
 2.3125 1.58107e-05 1.08959e-05 1.33533e-05 
 2.4875 7.57785e-05 3.49998e-05 5.53891e-05 
 2.6625 0.000238316 0.000141759 0.000190038 
 2.8375 0.000737038 0.000489827 0.000613433 
 3.0125 0.00196763  0.00125946  0.00161355  
 3.1875 0.00572669  0.00354207  0.00463438  
 3.3625 0.0136274   0.00931447  0.011471    
 3.5375 0.0338331   0.0231371   0.0284851   
 3.7125 0.0759065   0.0546548   0.0652807   
 3.8875 0.169528    0.121728    0.145628    
 4.0625 0.343274    0.262971    0.303123    
 4.2375 0.673181    0.531696    0.602439    
 4.4125 1.21064     0.993373    1.10201     
 4.5875 2.08119     1.74746     1.91433     
 4.7625 3.31089     2.89167     3.10128     
 4.9375 5.08482     4.50329     4.79406     
 5.1125 7.45885     6.80272     7.13079     
 5.2875 10.4899     9.62918     10.0595     
 5.4625 14.504      13.8638     14.1839     
 5.6375 19.7482     18.911      19.3296     
 5.8125 25.6611     24.8098     25.2355     
 5.9875 33.4208     32.6985     33.0597     
 6.1625 41.3545     41.0353     41.1949     
 6.3375 51.2261     51.26       51.2431     
 6.5125 62.4805     61.8303     62.1554     
 6.6875 75.015      74.776      74.8955     
 6.8625 88.5047     87.1827     87.8437     
 7.0375 102.263     102.757     102.51      
 7.2125 119.329     118.994     119.162     
 7.3875 135.181     137.648     136.415     
 7.5625 155.237     154.963     155.1       
 7.7375 182.908     178.405     180.656     
 7.9125 206.088     202.799     204.443  
