 Energy A-numu      A-anumu     A-average   
 1.0875 0           0           0           
 1.2625 0           0           0           
 1.4375 0           0           0           
 1.6125 0           0           0           
 1.7875 0           0           0           
 1.9625 2.34915e-06 2.65256e-06 2.50085e-06 
 2.1375 2.96687e-05 1.98399e-05 2.47543e-05 
 2.3125 0.00012165  8.40426e-05 0.000102846 
 2.4875 0.000438111 0.000277308 0.000357709 
 2.6625 0.0012826   0.000817142 0.00104987  
 2.8375 0.00337664  0.00215602  0.00276633  
 3.0125 0.00846289  0.00556621  0.00701455  
 3.1875 0.0205388   0.0130924   0.0168156   
 3.3625 0.0455132   0.0309736   0.0382434   
 3.5375 0.0979625   0.0685952   0.0832788   
 3.7125 0.19936     0.143703    0.171531    
 3.8875 0.39433     0.293906    0.344118    
 4.0625 0.728653    0.569075    0.648864    
 4.2375 1.29123     1.0522      1.17171     
 4.4125 2.16012     1.82858     1.99435     
 4.5875 3.44622     2.99479     3.22051     
 4.7625 5.17178     4.64893     4.91035     
 4.9375 7.3884      6.80451     7.09646     
 5.1125 10.2461     9.60231     9.92423     
 5.2875 13.5897     12.8399     13.2148     
 5.4625 17.6155     17.2333     17.4244     
 5.6375 22.7368     22.2402     22.4885     
 5.8125 28.0798     27.77       27.9249     
 5.9875 35.1859     34.8489     35.0174     
 6.1625 42.5112     42.6638     42.5875     
 6.3375 51.3538     51.8686     51.6112     
 6.5125 62.3554     61.2735     61.8145     
 6.6875 74.449      74.4016     74.4253     
 6.8625 88.2654     87.4642     87.8648     
 7.0375 103.058     104.74      103.899     
 7.2125 123.961     123.548     123.754     
 7.3875 144.049     145.787     144.918     
 7.5625 168.968     168.883     168.926     
 7.7375 204.08      199.1       201.59      
 7.9125 234.861     232.833     233.847 
