# Observed by B. Schmidt
# Reduced by K. Auchettl
# On 31/10/2024, 23:47:56
# Using DEbass pipeline: v01
# Using metadata: m01
#
# Wavelength Flux Error
3502.32	5.1263e+00	6.0709e+00
3503.10	1.9668e+01	6.1212e+00
3503.87	1.1926e+01	6.0589e+00
3504.65	2.2571e+01	5.9666e+00
3505.42	1.7841e+01	5.8459e+00
3506.20	1.3868e+01	5.7961e+00
3506.97	9.1480e+00	5.8753e+00
3507.75	-2.5273e+00	6.1072e+00
3508.52	1.3301e+01	6.0895e+00
3509.30	1.5592e+01	5.9821e+00
3510.07	8.4462e+00	5.8356e+00
3510.85	6.4358e+00	5.7793e+00
3511.62	1.5287e+01	5.7891e+00
3512.40	1.7347e+01	5.7575e+00
3513.17	2.1458e+01	5.6524e+00
3513.95	1.5579e+01	5.6650e+00
3514.72	2.2087e+01	5.5470e+00
3515.50	1.3546e+01	5.6185e+00
3516.27	1.2753e+01	5.6107e+00
3517.05	8.8845e+00	5.5983e+00
3517.82	9.3476e+00	5.5583e+00
3518.60	2.7578e+00	5.5306e+00
3519.37	8.4205e+00	5.4259e+00
3520.15	2.0519e+01	5.4278e+00
3520.92	1.3603e+01	5.5002e+00
3521.70	3.4669e+00	5.4627e+00
3522.47	1.1927e+00	5.3726e+00
3523.25	1.5465e+01	5.3499e+00
3524.02	2.3174e+01	5.3207e+00
3524.80	1.3886e+01	5.3317e+00
3525.57	2.3266e+00	5.3063e+00
3526.34	-8.0411e-01	5.2168e+00
3527.12	6.4821e+00	5.2319e+00
3527.89	1.1786e+01	5.2810e+00
3528.67	6.0386e+00	5.2063e+00
3529.44	-1.3664e+00	5.0738e+00
3530.22	3.5257e+00	5.0881e+00
3530.99	3.6440e+00	5.0896e+00
3531.77	1.4577e+01	4.9820e+00
3532.54	7.9954e+00	5.0697e+00
3533.32	1.2960e+01	5.1399e+00
3534.09	2.2173e+01	5.1196e+00
3534.87	2.4611e+01	5.1428e+00
3535.64	1.3991e+01	5.0562e+00
3536.42	6.1266e+00	4.9781e+00
3537.19	8.3087e+00	5.0554e+00
3537.97	8.8772e-02	5.0187e+00
3538.74	3.6556e+00	4.9887e+00
3539.52	1.1833e+01	4.9764e+00
3540.29	2.2337e+01	5.2937e+00
3541.07	2.6586e+01	5.5115e+00
3541.84	2.7194e+01	5.3030e+00
3542.62	1.5185e+01	5.1028e+00
3543.39	1.7743e+01	5.0696e+00
3544.17	2.7325e+01	4.9624e+00
3544.94	1.3556e+01	5.0038e+00
3545.72	1.6388e+01	5.0266e+00
3546.49	8.8784e+00	4.9717e+00
3547.27	6.5422e+00	4.9703e+00
3548.04	4.6966e+00	4.9445e+00
3548.82	6.5752e+00	4.9185e+00
3549.59	5.4240e+00	5.0292e+00
3550.37	1.7398e+00	4.9199e+00
3551.14	-8.4344e-01	4.8632e+00
3551.92	1.0402e+01	4.9056e+00
3552.69	2.0457e+01	4.8697e+00
3553.46	1.8258e+01	4.8849e+00
3554.24	1.0645e+01	4.8922e+00
3555.01	1.3314e+01	4.8725e+00
3555.79	1.6863e+01	4.8297e+00
3556.56	1.6020e+01	4.7821e+00
3557.34	1.6047e+01	4.6819e+00
3558.11	4.2879e+00	4.6170e+00
3558.89	1.0508e+01	4.6640e+00
3559.66	1.1645e+01	4.7187e+00
3560.44	1.0453e+01	4.8368e+00
3561.21	1.6821e+01	4.8258e+00
3561.99	1.2133e+01	4.7603e+00
3562.76	2.0183e+01	4.7064e+00
3563.54	1.3533e+01	4.6204e+00
3564.31	7.8025e+00	4.5783e+00
3565.09	1.1271e+01	4.5916e+00
3565.86	1.7100e+01	4.6220e+00
3566.64	1.2254e+01	4.6519e+00
3567.41	8.7150e+00	4.5769e+00
3568.19	6.3987e+00	4.5171e+00
3568.96	8.5590e+00	4.5563e+00
3569.74	-7.7559e-01	4.5729e+00
3570.51	1.5167e+01	4.5006e+00
3571.29	1.1986e+01	4.5302e+00
3572.06	1.1718e+01	4.5625e+00
3572.84	8.4509e+00	4.6334e+00
