Obj. ID,IAU name,Internal name/s,RA,DEC,Obj. Type,Redshift,Host name,Host redshift,Contrubuting group,Public,Associated groups,End prop. period,Spec. no.,LCs/Phot. no.,Discovery date,Peak-light date,Bibcode,Multi-type,Type-unclear,Remarks,Created by,Creation date,Modified by,Last-modified date
22128,SN 2022voe,"ATLAS22bklm, ZTF22abinbxm, Gaia22dzj",140.459125,54.062411,SN IIP,0.032276,,,TNS,Y,TNS,,1,0/0,11/18/2022 0:00,,,N,N,,TNS_Bot1,11/24/2022 5:05,TNS_Bot1,11/24/2022 5:05
21770,SN 2022qze,PS22gwr,29.83734059,19.01052015,SN IIP,0.008246,,,TNS,Y,TNS,,1,0/0,10/6/2022 1:55,,,N,N,,TNS_Bot1,10/6/2022 11:05,TNS_Bot1,10/6/2022 11:05
21215,SN 2022paf,"PS22gll, ZTF22aatpwfw",331.3600898,-0.532956984,SN IIP,0.031092,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,8/2/2022 12:05,TNS_Bot1,8/2/2022 12:05
23990, 2022ojo,ATLAS22swi,26.148417,37.697411,SN IIP,0.019,,,TNS,Y,"KITS, TNS",,4,0/0,,,,N,N,,Dr Samaporn Tinyanont,10/4/2023 6:34,Dr Samaporn Tinyanont,10/4/2023 6:34
21291,SN 2022npv,"PS22gcb, ATLAS22rxw, ZTF22aapqaqe",283.3692007,68.47542607,SN IIP,0.025177,VII Zw 848,0.025177,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,8/16/2022 23:05,TNS_Bot1,8/16/2022 23:05
26332,SN 2022lym,"PS22ftk, ZTF22aamwveh",333.6231427,5.02649004,SN IIP,0.028066,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/17/2024 22:10,TNS_Bot1,9/17/2024 22:10
21107,SN 2022jpi,"ATLAS22ppm, PS22ejo, ZTF22aaiidyo",243.1802164,28.30319145,SN IIP,0.024181,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,7/17/2022 14:05,TNS_Bot1,7/17/2022 14:05
20796,SN 2022jnh,"ATLAS22nvt, PS22ebq, ZTF22aajivyw",242.9028836,4.882425642,SN IIP,0.04,SDSS J161136.85+045251.4,0.03980023,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,5/23/2022 15:05,TNS_Bot1,5/23/2022 15:05
20921,SN 2022iyl,"PS22fbx, ZTF22aaijrci",314.5335826,0.452831443,SN IIP,0.0301,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,6/11/2022 3:05,TNS_Bot1,6/11/2022 3:05
26351,SN 2022dpo,ZTF22aacecnj,256.1791045,34.5561071,SN IIP,0.032867,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/18/2024 23:10,TNS_Bot1,9/18/2024 23:10
26352,SN 2022cru,ZTF22aaahubo,125.8596556,-4.9184687,SN IIP,0.022909001,,,TNS,Y,TNS,,1,0/0,4/27/2022 5:56,,,N,N,,TNS_Bot1,9/18/2024 23:10,TNS_Bot1,9/18/2024 23:10
26359,SN 2021addc,ZTF21ackrkqq,58.4102846,37.2631445,SN IIP,0.0186,UGC 02889,0.018613,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/18/2024 23:10,TNS_Bot1,9/18/2024 23:10
26356,SN 2021acpw,"ATLAS22dpa, ZTF18aajlxhe",183.5326077,51.2298821,SN IIP,0.0271,SDSS J121407.84+511349.0,0.02717403,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/18/2024 23:10,TNS_Bot1,9/18/2024 23:10
26364,SN 2021yez,ZTF21abylipp,319.9175083,37.5273939,SN IIP,0.026001,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/18/2024 23:10,TNS_Bot1,9/18/2024 23:10
26369,SN 2021pnh,ZTF21abfoytp,237.7109839,22.23784665,SN IIP,0.031432,UGC 10059,0.031432,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/19/2024 0:10,TNS_Bot1,9/19/2024 0:10
26375,SN 2021ncm,"ATLAS21bcqw, ZTF21abcgymx",16.8889606,39.3976112,SN IIP,0.019577,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/19/2024 18:10,TNS_Bot1,9/19/2024 18:10
26387,SN 2021gju,"PS21ebc, ZTF21aapzgos",136.2378809,15.83968063,SN IIP,0.039988,SDSS J090458.14+155021.7,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/19/2024 21:10,TNS_Bot1,9/19/2024 21:10
26379,SN 2021gdl,"PS21eei, ZTF21aaptkps",234.0870287,-3.262129331,SN IIP,0.02386,CGCG 022-016,0.02386,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/19/2024 19:10,TNS_Bot1,9/19/2024 19:10
26391,SN 2021dvk,"PS21awt, ATLAS21hgp, ZTF21aanjvng",121.9100623,8.940109559,SN IIP,0.030057,WISEA J080738.43+085624.7,0.030057,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/19/2024 23:10,TNS_Bot1,9/19/2024 23:10
26392,SN 2021dld,"PS21cni, ATLAS21izv, ZTF21aamgdlb",220.990919,59.5180552,SN IIP,0.043142,WISEA J144357.32+593106.1,0.043142,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/19/2024 23:10,TNS_Bot1,9/19/2024 23:10
26395,SN 2021daa,ZTF21aakzicj,114.4405911,21.6384507,SN IIP,0.0284,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/19/2024 23:10,TNS_Bot1,9/19/2024 23:10
26396,SN 2021cha,"ATLAS21iuy, PS21ajq, ZTF21aahfblr",155.4193347,23.65890576,SN IIP,0.0393,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/19/2024 23:10,TNS_Bot1,9/19/2024 23:10
26400,SN 2021px,"PS21io, ZTF21aabatzn",56.52788691,11.25648777,SN IIP,0.03649,SDSS J034607.18+111528.2,0.033,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/20/2024 0:10,TNS_Bot1,9/20/2024 0:10
26408,SN 2020adgl,"PS20mlt, ZTF20acymcnb",159.6188484,5.666685536,SN IIP,0.027559999,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/20/2024 18:10,TNS_Bot1,9/20/2024 18:10
26409,SN 2020adbd,"PS21ajo, ZTF20acwxgcy",155.801034,18.36036083,SN IIP,0.037836,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/20/2024 18:10,TNS_Bot1,9/20/2024 18:10
26413,SN 2020achd,"ZTF20acwoexs, PS20mbf",161.0083662,58.19718698,SN IIP,0.04655,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/20/2024 18:10,TNS_Bot1,9/20/2024 18:10
26422,SN 2020aagr,"PS20lwj, ZTF20acotuvr",164.3331257,44.02020113,SN IIP,0.03427,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/20/2024 19:10,TNS_Bot1,9/20/2024 19:10
26416,SN 2020zkr,"PS20kyj, ZTF20acpyfsq",149.2982385,36.54105461,SN IIP,0.0416,SDSS J095711.41+363226.0,0.044,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,9/20/2024 18:10,TNS_Bot1,9/20/2024 18:10
27247,SN 2019ttl,ZTF19abllxfy,328.1811135,38.933538,SN IIP,0.01998,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,1/7/2025 23:10,TNS_Bot1,1/7/2025 23:10
27243,SN 2018lrz,ZTF18abnxfve,337.4696897,36.7306099,SN IIP,0.02496,,,TNS,Y,TNS,,1,0/0,,,,N,N,,TNS_Bot1,1/7/2025 21:10,TNS_Bot1,1/7/2025 21:10
